scientificName,decimalLongitude,decimalLatitude
Gambierdiscus caribaeus,-93.603831,27.910836
Gambierdiscus scabrosus,124.30556,24.535
Gambierdiscus australes,124.2575,24.44444
Gambierdiscus pacificus,-173.25,2.01667
Gambierdiscus,149.92,-36.8926
Gambierdiscus caribaeus,-157.9765,21.45909
Gambierdiscus carpenteri,-93.6032,27.906701
Gambierdiscus carolinianus,-93.8562,27.8695
Gambierdiscus belizeanus,173.25,2.01667
Gambierdiscus carpenteri,-93.8562,27.8695
Gambierdiscus belizeanus,-93.8562,27.8695
Gambierdiscus carolinianus,-93.60037,27.8763
Gambierdiscus australes,-157.84962,21.28875
Gambierdiscus australes,135.79278,33.45278
Gambierdiscus carpenteri,-155.888,19.92561
Gambierdiscus belizeanus,-64.9817,18.333
Gambierdiscus australes,123.80111,24.41833
Gambierdiscus jejuensis,135.79278,33.45277
Gambierdiscus caribaeus,-64.703,18.319
Gambierdiscus carpenteri,-93.83337,27.85361
Gambierdiscus australes,125.87806,26.37889
Gambierdiscus belizeanus,-64.9817,18.333
Gambierdiscus australes,-157.850761,21.288878
Gambierdiscus caribaeus,-93.833371,27.853614
Gambierdiscus carolinianus,25.38682,35.32861
Gambierdiscus carolinianus,-64.917,18.333
Gambierdiscus scabrosus,127.74917,26.01639
Gambierdiscus carolinianus,-76.91373334,33.64471666
Gambierdiscus scabrosus,135.79278,33.45278
Gambierdiscus,150.077,-36.2265
Gambierdiscus scabrosus,125.87806,26.37889
Gambierdiscus jejuensis,135.7603,33.48139
Gambierdiscus,151.351,-33.49
Gambierdiscus carolinianus,-87.228525,20.497964
Gambierdiscus belizeanus,-64.97685,18.34068
Gambierdiscus silvae,-15.433,28.15
Gambierdiscus caribaeus,-64.917,18.333
Gambierdiscus australes,-157.831087,21.276539
Gambierdiscus australes,127.78889,26.13278
Gambierdiscus,150.013,-36.6015
Gambierdiscus australes,-157.85833,21.30694
Gambierdiscus jejuensis,125.87806,26.37889
Gambierdiscus jejuensis,127.78889,26.13278
Gambierdiscus carpenteri,-80.092515,26.97904
Gambierdiscus carolinianus,-80.092515,26.97904
Gambierdiscus caribaeus,-77.102656,18.413344
Gambierdiscus caribaeus,-83.042229,24.613059
Gambierdiscus carpenteri,-80.0699,26.93893
Gambierdiscus,149.955,-37.2483
Gambierdiscus,149.955,-37.2483
Gambierdiscus,150.077,-36.2265
Gambierdiscus,149.926,-37.2408
Gambierdiscus,149.955,-37.2483
Gambierdiscus,149.926,-37.2408
Gambierdiscus caribaeus,-80.08066,26.976893
Gambierdiscus,150.013,-36.6015
Gambierdiscus,150.18,-35.7046
Gambierdiscus,149.926,-37.2408
Gambierdiscus,150.017,-36.6234
Gambierdiscus carolinianus,-80.0781,26.96365
Gambierdiscus,149.926,-37.2408
Gambierdiscus,150.117,-36.2126
Gambierdiscus carolinianus,-77.10022,18.41141
Gambierdiscus,150.117,-36.2126
Gambierdiscus,149.926,-37.2408
Gambierdiscus belizeanus,-80.0781,26.96365
Gambierdiscus,149.926,-37.2408
Gambierdiscus caribaeus,-88.165131,16.718016
Gambierdiscus,149.926,-37.2408
Gambierdiscus scabrosus,132.64055,32.78361
Gambierdiscus,149.955,-37.2483
Gambierdiscus carolinianus,-80.08066,26.976893
Gambierdiscus,149.955,-37.2483
Gambierdiscus,150.017,-36.6234
Gambierdiscus carpenteri,-80.159691,27.1864
Gambierdiscus belizeanus,-80.0699,26.93893
Gambierdiscus,150.013,-36.6015
Gambierdiscus,150.077,-36.2265
Gambierdiscus,149.926,-37.2408
Gambierdiscus,150.017,-36.6234
Gambierdiscus caribaeus,-88.1017,16.8233
Gambierdiscus,150.013,-36.6015
Gambierdiscus carolinianus,-83.042229,24.613059
Gambierdiscus australes,127.70889,26.08972
Gambierdiscus,150.013,-36.6015
Gambierdiscus caribaeus,-80.159691,27.186389
Gambierdiscus,150.013,-36.6015
Gambierdiscus,149.955,-37.2483
Gambierdiscus,149.926,-37.2408
Gambierdiscus caribaeus,-80.092515,26.97904
Gambierdiscus,149.955,-37.2483
Gambierdiscus carolinianus,-88.168636,16.684774
Gambierdiscus carpenteri,-77.10553,18.41382
Gambierdiscus caribaeus,-80.0781,26.96365
Gambierdiscus caribaeus,-80.08066,26.976893
Gambierdiscus jejuensis,132.64055,32.78361
Gambierdiscus carpenteri,-83.02473,24.62648
Gambierdiscus belizeanus,-80.313358,27.46121
Gambierdiscus carpenteri,-80.0781,26.96365
Gambierdiscus scabrosus,128.65667,32.70306
Gambierdiscus carolinianus,-76.695446,33.796159
Gambierdiscus australes,133.34139,33.39389
Gambierdiscus,150.017,-36.6234
Gambierdiscus caribaeus,-88.103672,16.823224
Gambierdiscus australes,125.15694,24.83805
Gambierdiscus jejuensis,127.87889,26.70194
Gambierdiscus caribaeus,-83.042229,24.613059
Gambierdiscus australes,-147.674109,-23.860485
Gambierdiscus scabrosus,134.18194,33.25306
Gambierdiscus jejuensis,134.18194,33.25306
Gambierdiscus,150.017,-36.6234
Gambierdiscus scabrosus,128.02167,33.51917
Gambierdiscus jejuensis,132.62528,32.77278
Gambierdiscus australes,127.85417,26.64778
